t,v,k,N,Source
6,2,10000,6454.0,Power CZ3-23.17-21.1-21.1
2,3,4,9.0,orthogonal array
2,3,5,11.0,Derive from strength 3
2,3,7,12.0,simulated annealing (Cohen)
2,3,9,13.0,simulated annealing (Cohen)
2,3,10,14.0,simulated annealing (Cohen)
2,3,20,15.0,tabu search (Nurmela)
2,3,21,16.0,tabu search (Zekaoui)
2,3,29,17.0,CA Extender (TJ-AJ-AG)
2,3,46,18.0,CA Extender (TJ-AJ-AG)
2,3,49,19.0,CA Extender (TJ-AJ-AG)
2,3,63,20.0,CA Extender (TJ-AJ-AG)
2,3,93,21.0,CA Extender (TJ-AJ-AG)
2,3,107,22.0,CA Extender (TJ-AJ-AG)
2,3,138,23.0,CA Extender (TJ-AJ-AG)
2,3,199,24.0,CA Extender (TJ-AJ-AG)
2,3,216,25.0,CA Extender (TJ-AJ-AG)
2,3,288,26.0,CA Extender (TJ-AJ-AG)
2,3,435,27.0,CA Extender (TJ-AJ-AG)
2,3,449,28.0,CA Extender (TJ-AJ-AG)
2,3,610,29.0,CA Extender (TJ-AJ-AG)
2,3,878,30.0,CA Extender (TJ-AJ-AG)
2,3,964,31.0,CA Extender (TJ-AJ-AG)
2,3,1308,32.0,CA Extender (TJ-AJ-AG)
2,3,1964,33.0,CA Extender (TJ-AJ-AG)
2,3,2116,34.0,CA Extender (TJ-AJ-AG)
2,3,2700,35.0,CA Extender (TJ-AJ-AG)
2,3,3918,36.0,CA Extender (TJ-AJ-AG)
2,3,4457,37.0,CA Extender (TJ-AJ-AG)
2,3,5763,38.0,CA Extender (TJ-AJ-AG)
2,3,8329,39.0,CA Extender (TJ-AJ-AG)
2,3,9207,40.0,CA Extender (TJ-AJ-AG)
2,3,11898,41.0,CA Extender (TJ-AJ-AG)
2,3,17895,42.0,CA Extender (TJ-AJ-AG)
2,3,20000,43.0,CA Extender (TJ-AJ-AG)
3,3,4,27.0,orthogonal array
3,3,6,33.0,Chateauneuf-Kreher NRB
3,3,7,39.0,SAT Local Search (Hnich et al.)
3,3,8,42.0,cross-sum (CKRS)
3,3,14,45.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,16,51.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,17,58.0,Torres Jimenez
3,3,20,59.0,simulated annealing (AG-TJ-H)
3,3,22,66.0,Cyclic (Colbourn)
3,3,23,69.0,Cyclic (Colbourn)
3,3,24,71.0,simulated annealing (AG-TJ-H)
3,3,26,72.0,simulated annealing (AG-TJ-H)
3,3,28,75.0,Chateauneuf-Kreher doubling
3,3,32,81.0,Chateauneuf-Kreher doubling
3,3,34,88.0,Chateauneuf-Kreher doubling
3,3,40,89.0,Chateauneuf-Kreher doubling
3,3,46,93.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,47,95.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,48,97.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,49,99.0,"Cover starter (Colbourn, Torres-Jimenez)"
3,3,52,102.0,simulated annealing (AG-TJ-H)
3,3,59,103.0,simulated annealing (AG-TJ-H)
3,3,60,104.0,simulated annealing (AG-TJ-H)
3,3,61,105.0,two-stage SA (TJ-AG-I)
3,3,63,107.0,two-stage SA (TJ-AG-I)
3,3,65,108.0,two-stage SA (TJ-AG-I)
3,3,66,109.0,two-stage SA (TJ-AG-I)
3,3,67,110.0,two-stage SA (TJ-AG-I)
3,3,68,111.0,two-stage SA (TJ-AG-I)
