"catalogue","cat_row","construction","ingredient_call","ing_N","ing_k","ing_vmin","ing_vmax","confidence","stamp_date"
"DPcat",21,"productCA","productCA(SCA_LCDST(5, 3)[, 1:4], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,     1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[,     1:5], c1 = 3), c1 = 3), c1 = 3), 3)",51,2500,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[,     1:5], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), c1 = 3), 3)",43,625,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","productCA(CS_CMMSSY(6, 3)[, 1:5], productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[, 1:5], c1 = 3), 3)",33,125,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","productCA(CS_CMMSSY(6, 3)[, 1:5], CS_CMMSSY(6, 3)[, 1:5], 3)",23,25,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",21,"productCA","CS_CMMSSY(6, 3)",13,6,3,3,"INGREDIENT_MEASURED","2026-08-31"
"DPcat",22,"productCA","SCA_LCDST(5, 3)",11,5,3,3,"INGREDIENT_MEASURED","2026-08-31"
