"t","v","k","N","Source","generalized","postop","k1","k2","N_gen","N_plain","d_gen","d_plain","arith_tier"
2,10,325,288,"Direct product",FALSE,FALSE,13,25,288,297,0,-9,"ARITHMETIC"
2,10,333,290,"Direct product generalized",TRUE,FALSE,5,67,294,303,-4,-13,"ARITH_OPEN"
2,10,388,291,"Direct product generalized",TRUE,FALSE,6,65,294,303,-3,-12,"ARITH_OPEN"
2,10,432,292,"Direct product",FALSE,FALSE,6,72,296,305,-4,-13,"ARITH_OPEN"
2,10,438,296,"Direct product",FALSE,FALSE,6,73,296,305,0,-9,"ARITHMETIC"
2,10,444,297,"Direct product",FALSE,FALSE,6,74,297,306,0,-9,"ARITHMETIC"
2,10,468,298,"Direct product",FALSE,FALSE,6,78,298,307,0,-9,"ARITHMETIC"
2,10,478,299,"Direct product generalized",TRUE,FALSE,6,80,303,312,-4,-13,"ARITH_OPEN"
2,10,588,300,"Direct product",FALSE,FALSE,6,98,305,314,-5,-14,"ARITH_OPEN"
2,10,604,301,"Direct product generalized",TRUE,FALSE,6,101,305,314,-4,-13,"ARITH_OPEN"
2,10,782,302,"Direct product generalized",TRUE,FALSE,12,66,308,317,-6,-15,"ARITH_OPEN"
2,10,807,303,"Direct product generalized",TRUE,FALSE,12,68,308,317,-5,-14,"ARITH_OPEN"
2,10,858,304,"Direct product generalized",TRUE,FALSE,6,143,310,319,-6,-15,"ARITH_OPEN"
2,10,864,305,"Direct product",FALSE,FALSE,6,144,310,319,-5,-14,"ARITH_OPEN"
2,10,866,306,"Direct product generalized",TRUE,FALSE,12,73,310,319,-4,-13,"ARITH_OPEN"
2,10,888,307,"Direct product",FALSE,FALSE,6,148,311,320,-4,-13,"ARITH_OPEN"
2,10,936,309,"Direct product",FALSE,FALSE,6,156,312,321,-3,-12,"ARITH_OPEN"
2,10,939,310,"Direct product generalized",TRUE,FALSE,6,157,312,321,-2,-11,"ARITH_OPEN"
2,10,1001,311,"Direct product generalized",TRUE,FALSE,6,167,312,321,-1,-10,"ARITH_OPEN"
2,10,1144,312,"Direct product generalized",TRUE,FALSE,12,96,318,327,-6,-15,"ARITH_OPEN"
2,10,1287,313,"Direct product generalized",TRUE,FALSE,12,108,319,328,-6,-15,"ARITH_OPEN"
2,10,1309,315,"Direct product generalized",TRUE,FALSE,8,164,322,331,-7,-16,"ARITH_OPEN"
2,10,1452,316,"Direct product generalized",TRUE,FALSE,12,121,322,331,-6,-15,"ARITH_OPEN"
2,10,1595,317,"Direct product generalized",TRUE,FALSE,12,133,323,332,-6,-15,"ARITH_OPEN"
2,10,1725,318,"Direct product generalized",TRUE,FALSE,12,144,324,333,-6,-15,"ARITH_OPEN"
2,10,1829,319,"Direct product generalized",TRUE,FALSE,12,153,325,334,-6,-15,"ARITH_OPEN"
2,10,1887,320,"Direct product generalized",TRUE,FALSE,12,158,326,335,-6,-15,"ARITH_OPEN"
2,10,1920,321,"Direct product",FALSE,FALSE,12,160,326,335,-5,-14,"ARITH_OPEN"
2,10,2028,328,"Direct product",FALSE,FALSE,12,169,327,336,1,-8,"ARITH_OPEN"
2,10,2366,344,"Direct product",FALSE,FALSE,14,169,338,347,6,-3,"ARITH_OPEN"
2,10,2535,353,"Direct product",FALSE,FALSE,15,169,347,356,6,-3,"ARITH_OPEN"
2,10,3380,371,"Direct product",FALSE,FALSE,20,169,366,375,5,-4,"ARITH_OPEN"
2,10,3912,386,"Direct product generalized",TRUE,FALSE,24,163,388,397,-2,-11,"ARITH_OPEN"
2,10,3943,388,"Direct product generalized",TRUE,FALSE,24,165,388,397,0,-9,"ARITH_INFERRED"
2,10,4664,391,"Direct product generalized",TRUE,FALSE,6,778,394,403,-3,-12,"ARITH_OPEN"
2,10,5148,392,"Direct product generalized",TRUE,FALSE,6,858,396,405,-4,-13,"ARITH_OPEN"
2,10,5180,397,"Direct product",FALSE,FALSE,6,864,397,406,0,-9,"ARITHMETIC"
2,10,5460,398,"Direct product",FALSE,FALSE,70,78,398,407,0,-9,"ARITHMETIC"
2,10,5797,399,"Direct product generalized",TRUE,FALSE,35,166,401,410,-2,-11,"ARITH_OPEN"
2,10,7044,400,"Direct product",FALSE,FALSE,6,1174,405,414,-5,-14,"ARITH_OPEN"
2,10,7359,401,"Direct product generalized",TRUE,FALSE,6,1227,405,414,-4,-13,"ARITH_OPEN"
2,10,9393,402,"Direct product generalized",TRUE,FALSE,6,1566,409,418,-7,-16,"ARITH_OPEN"
2,10,9647,403,"Direct product generalized",TRUE,FALSE,12,804,409,418,-6,-15,"ARITH_OPEN"
2,10,10054,404,"Direct product generalized",TRUE,FALSE,6,1676,410,419,-6,-15,"ARITH_OPEN"
2,10,10296,405,"Direct product generalized",TRUE,FALSE,6,1716,410,419,-5,-14,"ARITH_OPEN"
2,10,10340,406,"Direct product generalized",TRUE,FALSE,6,1724,410,419,-4,-13,"ARITH_OPEN"
2,10,10582,407,"Direct product generalized",TRUE,FALSE,6,1764,411,420,-4,-13,"ARITH_OPEN"
2,10,10670,408,"Direct product generalized",TRUE,FALSE,6,1779,411,420,-3,-12,"ARITH_OPEN"
2,10,11154,409,"Direct product generalized",TRUE,FALSE,6,1859,412,421,-3,-12,"ARITH_OPEN"
2,10,11220,410,"Direct product generalized",TRUE,FALSE,6,1870,412,421,-2,-11,"ARITH_OPEN"
2,10,11605,411,"Direct product generalized",TRUE,FALSE,70,166,412,421,-1,-10,"ARITH_OPEN"
2,10,11968,412,"Direct product generalized",TRUE,FALSE,72,167,414,423,-2,-11,"ARITH_OPEN"
2,10,13541,413,"Direct product generalized",TRUE,FALSE,12,1129,418,427,-5,-14,"ARITH_OPEN"
2,10,14894,414,"Direct product generalized",TRUE,FALSE,12,1242,419,428,-5,-14,"ARITH_OPEN"
2,10,15301,415,"Direct product generalized",TRUE,FALSE,12,1276,419,428,-4,-13,"ARITH_OPEN"
2,10,17160,416,"Direct product generalized",TRUE,FALSE,12,1430,422,431,-6,-15,"ARITH_OPEN"
2,10,18997,417,"Direct product generalized",TRUE,FALSE,12,1584,423,432,-6,-15,"ARITH_OPEN"
2,10,20000,418,"Direct product generalized",TRUE,FALSE,12,1667,424,433,-6,-15,"ARITH_OPEN"
2,11,144,240,"Direct product",FALSE,FALSE,12,12,231,241,9,-1,"ARITH_OPEN"
2,11,154,252,"Direct product",FALSE,FALSE,12,13,263,273,-11,-21,"ARITH_OPEN"
2,11,155,261,"Direct product generalized",TRUE,FALSE,12,13,263,273,-2,-12,"ARITH_OPEN"
2,11,168,262,"Direct product",FALSE,FALSE,12,14,265,275,-3,-13,"ARITH_OPEN"
2,11,324,331,"Direct product",FALSE,FALSE,12,27,328,338,3,-7,"ARITH_OPEN"
2,11,336,332,"Direct product",FALSE,FALSE,12,28,331,341,1,-9,"ARITH_OPEN"
2,11,348,334,"Direct product",FALSE,FALSE,12,29,334,344,0,-10,"ARITHMETIC"
2,11,360,335,"Direct product",FALSE,FALSE,12,30,335,345,0,-10,"ARITHMETIC"
2,11,396,338,"Direct product",FALSE,FALSE,12,33,337,347,1,-9,"ARITH_OPEN"
2,11,1728,359,"Direct product",FALSE,FALSE,12,144,350,360,9,-1,"ARITH_OPEN"
2,11,1848,362,"Direct product",FALSE,FALSE,12,154,362,372,0,-10,"ARITHMETIC"
2,11,1859,371,"Direct product generalized",TRUE,FALSE,12,155,371,381,0,-10,"ARITH_INFERRED"
2,11,2002,372,"Direct product",FALSE,FALSE,12,167,372,382,0,-10,"ARITHMETIC"
2,11,2013,374,"Direct product generalized",TRUE,FALSE,12,168,372,382,2,-8,"ARITH_OPEN"
2,11,2145,380,"Direct product",FALSE,FALSE,15,143,378,388,2,-8,"ARITH_OPEN"
2,11,2288,382,"Direct product",FALSE,FALSE,12,191,381,391,1,-9,"ARITH_OPEN"
2,11,2304,388,"Direct product",FALSE,FALSE,12,192,382,392,6,-4,"ARITH_OPEN"
2,11,2427,395,"Direct product generalized",TRUE,FALSE,12,203,391,401,4,-6,"ARITH_OPEN"
2,11,2717,404,"Direct product",FALSE,FALSE,19,143,398,408,6,-4,"ARITH_OPEN"
