"child_t","child_v","child_k","child_N","child_Source","family","ing_t","ing_w","ing_v","ing_range","mult","ing_N_now","ing_k_now","confidence","stamp_date"
6,3,900,73732,"Power CT31^2T1T1","Power CT",6,30,3,FALSE,2,5572,30,"ARITHMETIC","2026-09-06"
6,3,900,73732,"Power CT31^2T1T1","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,930,73851,"Power CT31^2T1","Power CT",6,30,3,FALSE,1,5572,30,"ARITHMETIC","2026-09-06"
6,3,930,73851,"Power CT31^2T1","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,961,73970,"Power CT31^2","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,992,75110,"Power CT32^2T1","Power CT",6,31,3,FALSE,1,5691,31,"ARITHMETIC","2026-09-06"
6,3,992,75110,"Power CT32^2T1","Power CT",6,32,3,FALSE,1,5786,32,"ARITHMETIC","2026-09-06"
6,3,1024,75205,"Power CT32^2","Power CT",6,32,3,FALSE,1,5786,32,"ARITHMETIC","2026-09-06"
6,3,1027,75712,"Power CT32^2+3","Power CT",6,35,3,FALSE,1,5825,35,"ARITHMETIC","2026-09-06"
6,3,1039,79640,"Power CT37^2Arc(10):5 twos,0 ones","Power CT",6,35,3,FALSE,5,5825,35,"ARITHMETIC","2026-09-06"
6,3,1039,79640,"Power CT37^2Arc(10):5 twos,0 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1040,79995,"Power CT37^2Arc(12):4 twos,2 ones","Power CT",6,35,3,FALSE,4,5825,35,"ARITHMETIC","2026-09-06"
6,3,1040,79995,"Power CT37^2Arc(12):4 twos,2 ones","Power CT",6,36,3,FALSE,2,6248,36,"ARITHMETIC","2026-09-06"
6,3,1040,79995,"Power CT37^2Arc(12):4 twos,2 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1068,80063,"Power CT37^2Arc(10):4 twos,1 ones","Power CT",6,35,3,FALSE,4,5825,35,"ARITHMETIC","2026-09-06"
6,3,1068,80063,"Power CT37^2Arc(10):4 twos,1 ones","Power CT",6,36,3,FALSE,1,6248,36,"ARITHMETIC","2026-09-06"
6,3,1068,80063,"Power CT37^2Arc(10):4 twos,1 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1097,80131,"Power CT37^2Arc(8):4 twos,0 ones","Power CT",6,35,3,FALSE,4,5825,35,"ARITHMETIC","2026-09-06"
6,3,1097,80131,"Power CT37^2Arc(8):4 twos,0 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1098,80486,"Power CT37^2Arc(10):3 twos,2 ones","Power CT",6,35,3,FALSE,3,5825,35,"ARITHMETIC","2026-09-06"
6,3,1098,80486,"Power CT37^2Arc(10):3 twos,2 ones","Power CT",6,36,3,FALSE,2,6248,36,"ARITHMETIC","2026-09-06"
6,3,1098,80486,"Power CT37^2Arc(10):3 twos,2 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1128,80554,"Power CT37^2Arc(8):3 twos,1 ones","Power CT",6,35,3,FALSE,3,5825,35,"ARITHMETIC","2026-09-06"
6,3,1128,80554,"Power CT37^2Arc(8):3 twos,1 ones","Power CT",6,36,3,FALSE,1,6248,36,"ARITHMETIC","2026-09-06"
6,3,1128,80554,"Power CT37^2Arc(8):3 twos,1 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1159,80622,"Power CT37^2Arc(6):3 twos,0 ones","Power CT",6,35,3,FALSE,3,5825,35,"ARITHMETIC","2026-09-06"
6,3,1159,80622,"Power CT37^2Arc(6):3 twos,0 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1160,80977,"Power CT37^2Arc(8):2 twos,2 ones","Power CT",6,35,3,FALSE,2,5825,35,"ARITHMETIC","2026-09-06"
6,3,1160,80977,"Power CT37^2Arc(8):2 twos,2 ones","Power CT",6,36,3,FALSE,2,6248,36,"ARITHMETIC","2026-09-06"
6,3,1160,80977,"Power CT37^2Arc(8):2 twos,2 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1192,81045,"Power CT37^2Arc(6):2 twos,1 ones","Power CT",6,35,3,FALSE,2,5825,35,"ARITHMETIC","2026-09-06"
6,3,1192,81045,"Power CT37^2Arc(6):2 twos,1 ones","Power CT",6,36,3,FALSE,1,6248,36,"ARITHMETIC","2026-09-06"
6,3,1192,81045,"Power CT37^2Arc(6):2 twos,1 ones","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1225,81113,"Power CT37^2T2T2","Power CT",6,35,3,FALSE,2,5825,35,"ARITHMETIC","2026-09-06"
6,3,1225,81113,"Power CT37^2T2T2","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1226,81468,"Power CT37^2Arc(2)T2","Power CT",6,35,3,FALSE,1,5825,35,"ARITHMETIC","2026-09-06"
6,3,1226,81468,"Power CT37^2Arc(2)T2","Power CT",6,36,3,FALSE,2,6248,36,"ARITHMETIC","2026-09-06"
6,3,1226,81468,"Power CT37^2Arc(2)T2","Power CT",6,37,3,FALSE,1,6316,37,"ARITHMETIC","2026-09-06"
6,3,1260,81536,"Power CT37^2T2T1","Power CT",6,35,3,FALSE,1,5825,35,"ARITHMETIC","2026-09-06"
