"id","N_book","N_base","N_swap"
"PCAcat 289",650,650,650
"PCAcat 290",661,661,661
"PCAcat 291",672,672,672
"PCAcat 292",683,683,683
"PCAcat 293",694,694,694
"PCAcat 294",705,705,705
"PCAcat 295",421,421,421
"PCAcat 296",433,433,433
"PCAcat 297",445,445,445
"PCAcat 298",457,457,457
"PCAcat 299",469,469,469
"PCAcat 300",481,481,481
"PCAcat 301",493,493,493
"PCAcat 302",505,505,505
"PCAcat 303",517,517,517
"PCAcat 304",529,529,529
"PCAcat 305",541,541,541
"PCAcat 306",553,553,553
"PCAcat 307",565,565,565
"PCAcat 308",577,577,577
"PCAcat 309",589,589,589
"PCAcat 310",601,601,601
"PCAcat 311",613,613,613
"PCAcat 312",625,625,625
"PCAcat 313",637,637,637
"PCAcat 314",649,649,649
"PCAcat 315",661,661,661
"PCAcat 316",673,673,673
"PCAcat 317",685,685,685
"PCAcat 318",697,697,697
"PCAcat 319",709,709,709
"PCAcat 320",721,721,721
"PCAcat 321",733,733,733
"PCAcat 322",534,534,534
"PCAcat 323",547,547,547
"PCAcat 324",560,560,560
"PCAcat 325",573,573,573
"PCAcat 326",586,586,586
"PCAcat 327",599,599,599
"PCAcat 328",612,612,612
"PCAcat 329",625,625,625
"PCAcat 330",638,638,638
"PCAcat 331",651,651,651
"PCAcat 332",664,664,664
"PCAcat 333",677,677,677
"PCAcat 334",690,690,690
"PCAcat 335",703,703,703
"PCAcat 336",716,716,716
"PCAcat 337",729,729,729
"PCAcat 338",742,742,742
"PCAcat 339",794,794,794
"PCAcat 340",807,807,807
"PCAcat 341",820,820,820
"PCAcat 342",833,833,833
"PCAcat 343",846,846,846
"PCAcat 344",859,859,859
"PCAcat 345",872,872,872
"PCAcat 346",885,885,885
"PCAcat 347",898,898,898
"PCAcat 348",911,911,911
"PCAcat 349",924,924,924
"PCAcat 350",937,937,937
"PCAcat 351",950,950,950
"PCAcat 352",963,963,963
"PCAcat 353",976,976,976
"PCAcat 354",989,989,989
"PCAcat 355",1002,1002,1002
"PCAcat 356",1015,1015,1015
"PCAcat 357",1028,1028,1028
"PCAcat 358",1041,1041,1041
"PCAcat 359",659,659,659
"PCAcat 360",673,673,673
"PCAcat 361",687,687,687
"PCAcat 362",701,701,701
"PCAcat 363",715,715,715
"PCAcat 364",729,729,729
"PCAcat 365",743,743,743
"PCAcat 366",757,757,757
"PCAcat 367",771,771,771
"PCAcat 368",785,785,785
"PCAcat 369",799,799,799
"PCAcat 370",813,813,813
"PCAcat 371",827,827,827
"PCAcat 372",841,841,841
"PCAcat 373",855,855,855
"PCAcat 374",981,981,981
"PCAcat 375",995,995,995
"PCAcat 376",1009,1009,1009
"PCAcat 377",1023,1023,1023
"PCAcat 378",1037,1037,1037
"PCAcat 379",1051,1051,1051
"PCAcat 380",1065,1065,1065
"PCAcat 381",1079,1079,1079
"PCAcat 382",1093,1093,1093
"PCAcat 383",1107,1107,1107
"PCAcat 384",1121,1121,1121
"PCAcat 385",736,736,736
"PCAcat 386",766,766,766
"PCAcat 387",781,781,781
"PCAcat 388",796,796,796
"PCAcat 389",811,811,811
"PCAcat 390",826,826,826
"PCAcat 391",841,841,841
"PCAcat 392",856,856,856
"PCAcat 393",871,871,871
"PCAcat 394",886,886,886
"PCAcat 395",901,901,901
"PCAcat 396",916,916,916
"PCAcat 397",931,931,931
"PCAcat 398",946,946,946
"PCAcat 399",961,961,961
"PCAcat 400",976,976,976
"PCAcat 401",1006,1006,1006
"PCAcat 402",1021,1021,1021
"PCAcat 403",1036,1036,1036
"PCAcat 404",1051,1051,1051
"PCAcat 405",1066,1066,1066
"PCAcat 406",1081,1081,1081
"PCAcat 407",1096,1096,1096
"PCAcat 408",1126,1126,1126
"PCAcat 409",1141,1141,1141
"PCAcat 410",1156,1156,1156
"PCAcat 411",1171,1171,1171
"PCAcat 412",1186,1186,1186
"PCAcat 413",1201,1201,1201
"PCAcat 414",977,977,977
"PCAcat 415",993,993,993
"PCAcat 416",1009,1009,1009
"PCAcat 417",1025,1025,1025
"PCAcat 418",1041,1041,1041
"PCAcat 419",1057,1057,1057
"PCAcat 420",1073,1073,1073
"PCAcat 421",1249,1249,1249
"PCAcat 422",1265,1265,1265
"PCAcat 423",1281,1281,1281
"PCAcat 424",1297,1297,1297
"PCAcat 425",1313,1313,1313
"PCAcat 426",1329,1329,1329
"PCAcat 427",1072,1072,1072
"PCAcat 428",1106,1106,1106
"PCAcat 429",1123,1123,1123
"PCAcat 430",1140,1140,1140
"PCAcat 431",1157,1157,1157
"PCAcat 432",1174,1174,1174
"PCAcat 433",1191,1191,1191
"PCAcat 434",1208,1208,1208
"PCAcat 435",1225,1225,1225
"PCAcat 436",1242,1242,1242
"PCAcat 437",1599,1599,1599
"PCAcat 438",1279,1279,1279
"PCAcat 439",1621,1621,1621
"PCAcat 440",1426,1426,1426
"PCAcat 441",1445,1445,1445
"PCAcat 442",1464,1464,1464
"PCAcat 443",2129,2129,2129
"PCAcat 444",1661,1661,1661
"PCAcat 445",2481,2481,2481
"PCAcat 446",1828,1828,1828
"PCAcat 447",2731,2731,2731
"CYCLOTOMYcat 1",152,152,152
"CYCLOTOMYcat 2",212,212,212
"CYCLOTOMYcat 3",624,624,624
