"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,7,258,4646299,"Add 7 factors",7,4646299,TRUE,"ARITHMETIC"
"Add n factors",6,7,389,6352482,"Add 1 factors",1,6352482,TRUE,"ARITHMETIC"
"Add n factors",6,7,626,8335914,"Add 1 factors",1,8335914,TRUE,"ARITHMETIC"
"Add n factors",6,7,2212,10991274,"Add 1 factors",1,10991274,TRUE,"ARITHMETIC"
"Add n factors",5,8,813,531000,"Add 1 factors",1,531000,TRUE,"ARITHMETIC"
"Add n factors",5,8,814,616120,"Add 2 factors",2,616120,TRUE,"ARITHMETIC"
"Add n factors",5,8,815,644792,"Add 3 factors",3,644792,TRUE,"ARITHMETIC"
"Add n factors",5,8,820,673464,"Add 8 factors",8,673464,TRUE,"ARITHMETIC"
"Add n factors",5,8,821,793824,"Add 9 factors",9,673464,FALSE,"ARITH_OPEN"
"Add n factors",5,8,822,900936,"Add 8 factors",8,900544,TRUE,"ARITH_ABOVE"
"Add n factors",5,8,823,929608,"Add 8 factors",8,929608,TRUE,"ARITHMETIC"
"Add n factors",5,8,824,933543,"Add 8 factors",8,933543,TRUE,"ARITHMETIC"
"Add n factors",5,8,826,933935,"Add 8 factors",8,933543,TRUE,"ARITH_ABOVE"
"Add n factors",5,8,828,958672,"Add 8 factors",8,958280,TRUE,"ARITH_ABOVE"
"Add n factors",6,8,238,4259480,"Add 1 factors",1,4259480,TRUE,"ARITHMETIC"
"Add n factors",6,8,239,5126808,"Add 2 factors",2,5126808,TRUE,"ARITHMETIC"
"Add n factors",6,8,240,5739672,"Add 3 factors",3,5739672,TRUE,"ARITHMETIC"
"Add n factors",6,8,241,5969048,"Add 4 factors",4,5969048,TRUE,"ARITHMETIC"
"Add n factors",6,8,242,6194840,"Add 8 factors",8,6194840,TRUE,"ARITHMETIC"
"Add n factors",6,8,245,6198424,"Add 8 factors",8,6198424,TRUE,"ARITHMETIC"
"Add n factors",6,8,246,7574400,"Add 8 factors",8,7574400,TRUE,"ARITHMETIC"
"Add n factors",6,8,247,8441728,"Add 8 factors",8,8441728,TRUE,"ARITHMETIC"
"Add n factors",6,8,248,9054592,"Add 8 factors",8,9054592,TRUE,"ARITHMETIC"
