"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",4,10,95,58309,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",58309,"ARITHMETIC"
"fuse",4,10,96,58419,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",58419,"ARITHMETIC"
"fuse",4,10,99,58529,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",58529,"ARITHMETIC"
"fuse",4,10,114,58559,"CPHF IPO 4 (WCS) fuse",1,"CPHF IPO 4 (WCS)",58559,"ARITHMETIC"
"fuse",4,10,121,69089,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",69089,"ARITHMETIC"
"fuse",4,10,141,70519,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",70519,"ARITHMETIC"
"fuse",4,10,160,71729,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",71729,"ARITHMETIC"
"fuse",4,10,170,71839,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",71839,"ARITHMETIC"
"fuse",4,10,193,72939,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",72939,"ARITHMETIC"
"fuse",4,10,199,73049,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",73049,"ARITHMETIC"
"fuse",4,10,203,73159,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",73159,"ARITHMETIC"
"fuse",4,10,239,73199,"CPHF IPO 5 (WCS) fuse",1,"CPHF IPO 5 (WCS)",73199,"ARITHMETIC"
"fuse",4,10,242,83829,"3,3,3-Restricted SCPHF RE (CL) fuse",1,"3,3,3-Restricted SCPHF RE (CL)",83829,"ARITHMETIC"
"fuse",4,10,287,85149,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",85149,"ARITHMETIC"
"fuse",4,10,309,86359,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",86359,"ARITHMETIC"
"fuse",4,10,329,86469,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",86469,"ARITHMETIC"
"fuse",4,10,377,87569,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",87569,"ARITHMETIC"
"fuse",4,10,383,87679,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",87679,"ARITHMETIC"
"fuse",4,10,394,87789,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",87789,"ARITHMETIC"
"fuse",4,10,514,87839,"CPHF IPO 6 (WCS) fuse",1,"CPHF IPO 6 (WCS)",87839,"ARITHMETIC"
"fuse",4,10,518,99779,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",99779,"ARITHMETIC"
"fuse",4,10,606,100989,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",100989,"ARITHMETIC"
"fuse",4,10,613,101099,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",101099,"ARITHMETIC"
"fuse",4,10,719,102199,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",102199,"ARITHMETIC"
"fuse",4,10,761,102309,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",102309,"ARITHMETIC"
"fuse",4,10,781,102419,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",102419,"ARITHMETIC"
"fuse",4,10,1017,102479,"CPHF IPO 7 (WCS) fuse",1,"CPHF IPO 7 (WCS)",102479,"ARITHMETIC"
