"catalogue","row","construction","n_ingredients","ingredients","code"
"PCAcat",3,"productPCA",2,"SCA_LCDST(5, 3) ||| miscCA(2, 10, 3)","productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3))"
"PCAcat",4,"productPCA",2,"miscCA(2, 9, 3) ||| miscCA(2, 9, 3)","productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))"
"PCAcat",5,"productPCA",4,"SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)))"
"PCAcat",6,"productPCA",4,"SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)) ||| SCA_LCDST(5, 3) ||| miscCA(2, 9, 3)","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)))"
"PCAcat",7,"productPCA",4,"SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3)) ||| SCA_LCDST(5, 3) ||| miscCA(2, 10, 3)","productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3)))"
"PCAcat",8,"productPCA",4,"SCA_Bose(3) ||| productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3)) ||| miscCA(2, 9, 3) ||| miscCA(2, 9, 3)","productPCA(SCA_Bose(3), productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3)))"
"PCAcat",9,"productPCA",6,"SCA_Bose(3) ||| productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))) ||| SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3)) ||| SCA_LCDST(5, 3) ||| SCA_LCDST(5, 3)","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), SCA_LCDST(5, 3))))"
"PCAcat",10,"productPCA",6,"SCA_Bose(3) ||| productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))) ||| SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3)) ||| SCA_LCDST(5, 3) ||| miscCA(2, 9, 3)","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 9, 3))))"
"PCAcat",11,"productPCA",6,"SCA_Bose(3) ||| productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3))) ||| SCA_Bose(3) ||| productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3)) ||| SCA_LCDST(5, 3) ||| miscCA(2, 10, 3)","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(SCA_LCDST(5, 3), miscCA(2, 10, 3))))"
"PCAcat",12,"productPCA",6,"SCA_Bose(3) ||| productPCA(SCA_Bose(3), productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))) ||| SCA_Bose(3) ||| productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3)) ||| miscCA(2, 9, 3) ||| miscCA(2, 9, 3)","productPCA(SCA_Bose(3), productPCA(SCA_Bose(3), productPCA(miscCA(2, 9, 3), miscCA(2, 9, 3))))"
