"key","tier","family"
"5 10 13 extended OA (Colbourn) special fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 10 14 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"6 10 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 10 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 10 10 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 10 13 extended OA (Colbourn) special fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 15 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 19 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 20 Fix 2 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 22 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 23 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 24 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 25 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 26 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 11 27 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 11 13 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 11 14 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 11 133 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"4 11 13 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 11 14 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 11 13 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
