"family","t","v","k","N","Source","N_pred","tier"
"Add n factors",5,8,823,929608,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,824,933543,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,826,933935,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",5,8,828,958672,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,238,4259480,"Add 1 factors",4259480,"ARITHMETIC"
"Add n factors",6,8,239,5126808,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,240,5739672,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,241,5969048,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,242,6194840,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,245,6198424,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,246,7574400,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,247,8441728,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,248,9054592,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,249,9283968,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,250,9509760,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,251,9513344,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",6,8,253,9552768,"Add 8 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,819,888417,"Add 1 factors",888417,"ARITHMETIC"
"Add n factors",5,9,820,1034217,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,821,1086705,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,827,1139193,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,828,1378881,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,829,1524681,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,830,1577673,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",5,9,836,1644633,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,211,8088417,"Add 1 factors",8088417,"ARITHMETIC"
"Add n factors",6,9,212,9867177,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,213,11062737,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,214,11535129,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,219,12007521,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,220,14781609,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,221,16560369,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,222,17755929,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,223,18228321,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,228,18700713,"Add 9 factors",NA,"ARITH_OPEN"
"Add n factors",6,9,479,29869312,"Add 1 factors",29869312,"ARITHMETIC"
"Add n factors",6,9,962,35665032,"Add 1 factors",35665032,"ARITHMETIC"
"Add n factors",6,9,1851,41918888,"Add 1 factors",41918888,"ARITHMETIC"
"Add n factors",5,10,828,2154669,"Add 1 factors",2154669,"ARITHMETIC"
"Add n factors",5,10,829,2428269,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,831,2674539,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,832,2725485,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,838,2923259,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,839,3468839,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,840,3742439,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,842,3988709,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,843,4039655,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,849,4237429,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,10,7922,8049942,"Add 1 factors",8049942,"ARITHMETIC"
"Add n factors",6,10,209,22531869,"Add 1 factors",22531869,"ARITHMETIC"
