"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",84,2,5,252,78,"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7, 5)[,      1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5)"
"DPcat",85,2,5,294,79,"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5),      miscCA(2, 7, 5), c1 = 3), c1 = 5)"
"DPcat",86,2,5,315,80,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5),      miscCA(2, 9, 5), c1 = 3), c1 = 5)"
"DPcat",87,2,5,343,81,"productCA(miscCA(2, 7, 5), productCA(miscCA(2, 7, 5), miscCA(2,      7, 5), c1 = 3), c1 = 3)"
"DPcat",88,2,5,378,84,"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5),      miscCA(2, 9, 5), c1 = 3), c1 = 5)"
"DPcat",89,2,5,625,85,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6, 5)[,      1:5], c1 = 5), c1 = 5), c1 = 5)"
"DPcat",90,2,5,750,89,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7, 5)[,      1:6], c1 = 5), c1 = 5), c1 = 5)"
"DPcat",91,2,5,875,90,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7, 5),      c1 = 5), c1 = 5), c1 = 5)"
"DPcat",92,2,5,900,93,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], CS_CMMSSY(7, 5)[,      1:6], c1 = 5), c1 = 5), c1 = 5)"
"DPcat",93,2,5,1050,94,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5),      c1 = 5), c1 = 5), c1 = 5)"
"DPcat",94,2,5,1225,95,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3),      c1 = 5), c1 = 5)"
"DPcat",95,2,5,1260,98,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], productCA(CS_CMMSSY(7, 5)[, 1:6], miscCA(2, 7, 5),      c1 = 5), c1 = 5), c1 = 5)"
