"call","N","k","v_min","v_max","nNA","status"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,     1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5), 5)",94,1050,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5),     miscCA(2, 7, 5), c1 = 3), c1 = 5), 5)",95,1225,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7, 5)[,     1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5), 5)",98,1260,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5),     miscCA(2, 7, 5), c1 = 3), c1 = 5), 5)",99,1470,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5),     miscCA(2, 9, 5), c1 = 3), c1 = 5), 5)",100,1575,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5), productCA(miscCA(2, 7, 5), miscCA(2,     7, 5), c1 = 3), c1 = 3), 5)",100,1715,5,5,0,"ok"
"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5),     miscCA(2, 7, 5), c1 = 3), c1 = 5), 5)",103,1764,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(miscCA(2, 7, 5),     miscCA(2, 9, 5), c1 = 3), c1 = 5), 5)",104,1890,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(6, 5)[,     1:5], c1 = 5), c1 = 5), c1 = 5), 5)",105,3125,5,5,0,"ok"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], CS_CMMSSY(7, 5)[,     1:6], c1 = 5), c1 = 5), c1 = 5), 5)",109,3750,5,5,0,"ok"
