"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,15,318,519006898,"Martirosyan-TVT","plain",519006898,"ARITHMETIC"
"Martirosyan-TVT",6,15,326,519007138,"Martirosyan-TVT","plain",519007138,"ARITHMETIC"
"Martirosyan-TVT",6,15,328,519007228,"Martirosyan-TVT","plain",519007228,"ARITHMETIC"
"Martirosyan-TVT",6,15,330,535784338,"Martirosyan-TVT","plain",535784338,"ARITHMETIC"
"Martirosyan-TVT",6,15,341,536701618,"Martirosyan-TVT variant","variant",536701618,"ARITHMETIC"
"Martirosyan-TVT",6,15,536,669049222,"Martirosyan-TVT","plain",669049222,"ARITHMETIC"
"Martirosyan-TVT",6,15,538,736840162,"Martirosyan-TVT","plain",736840162,"ARITHMETIC"
"Martirosyan-TVT",6,15,544,744384201,"Martirosyan-TVT","plain",744384201,"ARITHMETIC"
"Martirosyan-TVT",6,15,545,744613161,"Martirosyan-TVT variant","variant",744613161,"ARITHMETIC"
"Martirosyan-TVT",6,15,546,745488709,"Martirosyan-TVT","plain",745488709,"ARITHMETIC"
"Martirosyan-TVT",6,15,547,758722133,"Martirosyan-TVT variant","variant",758722133,"ARITHMETIC"
"Martirosyan-TVT",6,15,550,774567013,"Martirosyan-TVT","plain",774567013,"ARITHMETIC"
"Martirosyan-TVT",6,15,551,774723893,"Martirosyan-TVT variant","variant",774723893,"ARITHMETIC"
"Martirosyan-TVT",6,15,557,774881029,"Martirosyan-TVT variant","variant",774881029,"ARITHMETIC"
"Martirosyan-TVT",6,15,568,775527617,"Martirosyan-TVT","plain",775527617,"ARITHMETIC"
"Martirosyan-TVT",6,15,578,776444897,"Martirosyan-TVT","plain",776444897,"ARITHMETIC"
"Martirosyan-TVT",6,16,312,536211424,"Martirosyan-TVT","plain",536211424,"ARITHMETIC"
"Martirosyan-TVT",6,16,313,536334304,"Martirosyan-TVT variant","variant",536334304,"ARITHMETIC"
"Martirosyan-TVT",6,16,316,536453344,"Martirosyan-TVT","plain",536453344,"ARITHMETIC"
"Martirosyan-TVT",6,16,317,536594704,"Martirosyan-TVT variant","variant",536594704,"ARITHMETIC"
"Martirosyan-TVT",6,16,318,536736064,"Martirosyan-TVT","plain",536736064,"ARITHMETIC"
"Martirosyan-TVT",6,16,326,536736304,"Martirosyan-TVT","plain",536736304,"ARITHMETIC"
"Martirosyan-TVT",6,16,328,536736394,"Martirosyan-TVT","plain",536736394,"ARITHMETIC"
