"fam","t","v","k","N","Source","q","e","plus","nred","M","M_status","N_pred","dN","k_pred","dk","arith_tier"
"CT",6,3,2403,99242,"Power CT49^2+2",49,2,2,0,13,"FORMULA",99242,0,2403,0,"ARITHMETIC"
"CT",6,3,2404,99515,"Power CT49^2+3",49,2,3,0,13,"FORMULA",99515,0,2404,0,"ARITHMETIC"
"CT",6,3,2413,99965,"Power CT53^2Arc(8)",53,2,0,8,13,"FORMULA",99965,0,2413,0,"ARITHMETIC"
"CT",6,3,2459,100055,"Power CT53^2Arc(7)",53,2,0,7,13,"FORMULA",100055,0,2459,0,"ARITHMETIC"
"CT",6,3,2506,100145,"Power CT53^2Arc(6)",53,2,0,6,13,"FORMULA",100145,0,2506,0,"ARITHMETIC"
"CT",6,3,2554,100235,"Power CT53^2Arc(5)",53,2,0,5,13,"FORMULA",100235,0,2554,0,"ARITHMETIC"
"CT",6,3,2603,100325,"Power CT53^2Arc(4)",53,2,0,4,13,"FORMULA",100325,0,2603,0,"ARITHMETIC"
"CT",6,3,2653,100415,"Power CT53^2Arc(3)",53,2,0,3,13,"FORMULA",100415,0,2653,0,"ARITHMETIC"
"CT",6,3,2704,100505,"Power CT53^2T1T1",53,2,0,2,13,"FORMULA",100505,0,2704,0,"ARITHMETIC"
"CT",6,3,2756,100595,"Power CT53^2T1",53,2,0,1,13,"FORMULA",100595,0,2756,0,"ARITHMETIC"
"CT",6,3,2810,100685,"Power CT53^2+1",53,2,1,0,13,"FORMULA",100685,0,2810,0,"ARITHMETIC"
"CT",6,3,2811,101348,"Power CT53^2+2",53,2,2,0,13,"FORMULA",101348,0,2811,0,"ARITHMETIC"
"CT",6,3,2814,103974,"Power CT53^2 +5",53,2,5,0,13,"FORMULA",103974,0,2814,0,"ARITHMETIC"
"CT",6,3,2839,104662,"Power CT59^2Arc(12)",59,2,0,12,13,"FORMULA",104662,0,2839,0,"ARITHMETIC"
"CT",6,3,2887,105350,"Power CT59^2Arc(11)",59,2,0,11,13,"FORMULA",105350,0,2887,0,"ARITHMETIC"
"CT",6,3,2936,106038,"Power CT59^2Arc(10)",59,2,0,10,13,"FORMULA",106038,0,2936,0,"ARITHMETIC"
"CT",6,3,2986,106726,"Power CT59^2Arc(9)",59,2,0,9,13,"FORMULA",106726,0,2986,0,"ARITHMETIC"
"CT",6,3,3037,107414,"Power CT59^2Arc(8)",59,2,0,8,13,"FORMULA",107414,0,3037,0,"ARITHMETIC"
"CT",6,3,3089,108102,"Power CT59^2Arc(7)",59,2,0,7,13,"FORMULA",108102,0,3089,0,"ARITHMETIC"
"CT",6,3,3142,108790,"Power CT59^2Arc(6)",59,2,0,6,13,"FORMULA",108790,0,3142,0,"ARITHMETIC"
"CT",6,3,3196,109478,"Power CT59^2Arc(5)",59,2,0,5,13,"FORMULA",109478,0,3196,0,"ARITHMETIC"
"CT",6,3,3251,110166,"Power CT59^2Arc(4)",59,2,0,4,13,"FORMULA",110166,0,3251,0,"ARITHMETIC"
"CT",6,3,3307,110854,"Power CT59^2Arc(3)",59,2,0,3,13,"FORMULA",110854,0,3307,0,"ARITHMETIC"
"CT",6,3,3364,111542,"Power CT59^2T1T1",59,2,0,2,13,"FORMULA",111542,0,3364,0,"ARITHMETIC"
"CT",6,3,3538,112230,"Power CT61^2T3",61,2,0,1,13,"FORMULA",112230,0,3538,0,"ARITHMETIC"
"CT",6,3,3721,112918,"Power CT61^2",61,2,0,0,13,"FORMULA",112918,0,3721,0,"ARITHMETIC"
"CT",6,3,3722,113841,"Power CT61^2+1",61,2,1,0,13,"FORMULA",113841,0,3722,0,"ARITHMETIC"
"CT",6,3,3913,114020,"Power CT25^3T12S24",25,3,0,25,25,"FORMULA",114020,0,3913,0,"ARITHMETIC"
"CT",6,3,3939,114239,"Power CT25^3T12S23",25,3,0,24,25,"FORMULA",114239,0,3939,0,"ARITHMETIC"
"CT",6,3,3978,114458,"Power CT25^3T12S22",25,3,0,23,25,"FORMULA",114458,0,3978,0,"ARITHMETIC"
"CT",6,3,4214,114540,"Power CT25^3T11S24",25,3,0,25,25,"FORMULA",114540,0,4214,0,"ARITHMETIC"
"CT",6,3,4515,114740,"Power CT25^3T10S24",25,3,0,25,25,"FORMULA",114740,0,4515,0,"ARITHMETIC"
"CT",6,3,4545,114959,"Power CT25^3T10S23",25,3,0,24,25,"FORMULA",114959,0,4545,0,"ARITHMETIC"
"CT",6,3,4816,114965,"Power CT25^3T9S24",25,3,0,25,25,"FORMULA",114965,0,4816,0,"ARITHMETIC"
"CT",6,3,4848,115184,"Power CT25^3T9S23",25,3,0,24,25,"FORMULA",115184,0,4848,0,"ARITHMETIC"
"CT",6,3,4896,115403,"Power CT25^3T9S22",25,3,0,23,25,"FORMULA",115403,0,4896,0,"ARITHMETIC"
"CT",6,3,5117,115472,"Power CT25^3T8S24",25,3,0,25,25,"FORMULA",115472,0,5117,0,"ARITHMETIC"
"CT",6,3,5418,115678,"Power CT25^3T7S24",25,3,0,25,25,"FORMULA",115678,0,5418,0,"ARITHMETIC"
"CT",6,3,5719,115800,"Power CT25^3T6S24",25,3,0,25,25,"FORMULA",115800,0,5719,0,"ARITHMETIC"
"CT",6,3,6020,115845,"Power CT25^3T5S24",25,3,0,25,25,"FORMULA",115845,0,6020,0,"ARITHMETIC"
"CT",6,3,6321,116039,"Power CT25^3T4S24",25,3,0,25,25,"FORMULA",116039,0,6321,0,"ARITHMETIC"
"CT",6,3,6622,116239,"Power CT25^3T3S24",25,3,0,25,25,"FORMULA",116239,0,6622,0,"ARITHMETIC"
"CT",6,3,6923,116439,"Power CT25^3T2S24",25,3,0,25,25,"FORMULA",116439,0,6923,0,"ARITHMETIC"
"CT",6,3,7224,116500,"Power CT25^3S25",25,3,0,25,25,"FORMULA",116500,0,7224,0,"ARITHMETIC"
"CT",6,3,7272,116719,"Power CT25^3S24",25,3,0,24,25,"FORMULA",116719,0,7272,0,"ARITHMETIC"
"CT",6,3,7344,116938,"Power CT25^3S23",25,3,0,23,25,"FORMULA",116938,0,7344,0,"ARITHMETIC"
"CT",6,3,7440,117157,"Power CT25^3S22",25,3,0,22,25,"FORMULA",117157,0,7440,0,"ARITHMETIC"
"CT",6,3,7560,117376,"Power CT25^3S21",25,3,0,21,25,"FORMULA",117376,0,7560,0,"ARITHMETIC"
"CT",6,3,7704,117595,"Power CT25^3S20",25,3,0,20,25,"FORMULA",117595,0,7704,0,"ARITHMETIC"
"CT",6,3,7872,117814,"Power CT25^3S19",25,3,0,19,25,"FORMULA",117814,0,7872,0,"ARITHMETIC"
"CT",6,3,8064,118033,"Power CT25^3S18",25,3,0,18,25,"FORMULA",118033,0,8064,0,"ARITHMETIC"
"CT",6,3,8280,118252,"Power CT25^3S17",25,3,0,17,25,"FORMULA",118252,0,8280,0,"ARITHMETIC"
