"t","k","v","N_snapshot","N_built","verified","size_ok","note"
4,10,6,3208,3208,TRUE,TRUE,"EXECUTED"
3,246,2,45,45,TRUE,TRUE,"EXECUTED"
2,58,23,1019,1019,TRUE,TRUE,"EXECUTED"
3,256,2,46,46,TRUE,TRUE,"EXECUTED"
2,195,13,325,325,TRUE,TRUE,"EXECUTED"
4,9,7,3569,3569,TRUE,TRUE,"EXECUTED"
2,196,13,336,336,TRUE,TRUE,"EXECUTED"
4,71,2,71,71,TRUE,TRUE,"EXECUTED"
6,21,2,318,318,TRUE,TRUE,"EXECUTED"
3,262,2,47,47,TRUE,TRUE,"EXECUTED"
3,20,9,1377,1377,TRUE,TRUE,"EXECUTED"
2,2700,3,35,35,TRUE,TRUE,"EXECUTED"
3,6,20,8000,8000,TRUE,TRUE,"EXECUTED"
4,72,2,78,78,TRUE,TRUE,"EXECUTED"
2,6435,2,16,16,TRUE,TRUE,"EXECUTED"
3,280,2,48,48,TRUE,TRUE,"EXECUTED"
5,35,2,134,134,TRUE,TRUE,"EXECUTED"
3,11,14,3185,3185,TRUE,TRUE,"EXECUTED"
4,11,6,3671,3671,TRUE,TRUE,"EXECUTED"
6,22,2,330,330,TRUE,TRUE,"EXECUTED"
6,7,5,15625,15625,TRUE,TRUE,"EXECUTED"
3,6,21,9261,9261,TRUE,TRUE,"EXECUTED"
3,14,13,2197,2197,TRUE,TRUE,"EXECUTED"
4,79,2,79,79,TRUE,TRUE,"EXECUTED"
4,9,8,4096,4096,TRUE,TRUE,"EXECUTED"
4,5,12,20736,20736,TRUE,TRUE,"EXECUTED"
6,23,2,350,350,TRUE,TRUE,"EXECUTED"
4,83,2,83,83,TRUE,TRUE,"EXECUTED"
2,3918,3,36,36,TRUE,TRUE,"EXECUTED"
4,12,6,3944,3944,TRUE,TRUE,"EXECUTED"
3,352,2,49,49,TRUE,TRUE,"EXECUTED"
2,712,8,176,176,TRUE,TRUE,"EXECUTED"
6,24,2,357,357,TRUE,TRUE,"EXECUTED"
2,4457,3,37,37,TRUE,TRUE,"EXECUTED"
4,89,2,87,87,TRUE,TRUE,"EXECUTED"
3,14,14,3549,3549,TRUE,TRUE,"EXECUTED"
2,323,13,421,421,TRUE,TRUE,"EXECUTED"
4,13,6,4027,4027,TRUE,TRUE,"EXECUTED"
4,90,2,92,92,TRUE,TRUE,"EXECUTED"
2,341,13,433,433,TRUE,TRUE,"EXECUTED"
6,25,2,375,375,TRUE,TRUE,"EXECUTED"
2,11440,2,17,17,TRUE,TRUE,"EXECUTED"
4,97,2,94,94,TRUE,TRUE,"EXECUTED"
2,288,16,496,496,TRUE,TRUE,"EXECUTED"
