"t","v","k","N","Source","status","engine_class"
6,2,36,495,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,37,506,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,38,512,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,39,518,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,40,527,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,41,534,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,42,541,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,43,553,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,44,561,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,45,566,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,46,573,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,47,581,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,48,586,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,49,592,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,50,599,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,51,605,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,52,612,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,53,615,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,54,623,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,55,628,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,56,634,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,57,640,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,58,644,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,59,651,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,60,660,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,61,666,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,62,672,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,63,677,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,64,680,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,65,685,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,66,688,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,67,695,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,68,699,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,69,705,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,70,709,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,71,714,"SIPO (Wagner-Kampel-Simos)","MATCH","RESOLVED"
6,2,72,718,"SIPO (Wagner-Kampel-Simos)","BETTER","BETTER"
6,2,360,720,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,379,758,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,432,862,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,464,926,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,468,934,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,488,974,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,492,982,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,500,998,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,504,1008,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,510,1018,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,522,1042,"Cyclic (Colbourn-Keri)","MATCH","RESOLVED"
6,2,1231,1231,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1283,1283,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1319,1319,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1361,1361,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1367,1367,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1373,1373,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1381,1381,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1423,1423,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1427,1427,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1429,1429,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1439,1439,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1447,1447,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1459,1459,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1483,1483,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1487,1487,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1493,1493,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1499,1499,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1511,1511,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1523,1523,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1549,1549,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1559,1559,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1567,1567,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1571,1571,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1579,1579,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
6,2,1583,1583,"Cyclotomy (Torres-Jimenez)","MATCH","RESOLVED"
