"family","t","v","k","N","Source","route","N_pred","tier"
"Colbourn-Martirosyan-TVT-Walker",4,12,3724,382093,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3920,384262,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,3980,384463,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4026,384547,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4080,385713,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4116,389137,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4228,393150,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4382,394372,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4392,414243,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4758,414309,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,4760,414672,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5068,415662,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5124,415805,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5544,417613,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5588,421415,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5646,421547,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5710,421679,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5808,421811,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,5863,422015,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,6020,422061,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,6622,422075,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,6754,423791,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,7056,424729,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,7070,427870,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,7196,428026,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,7462,428182,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,7826,428238,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
"Colbourn-Martirosyan-TVT-Walker",4,12,8428,428242,"Colbourn-Martirosyan-TVT-Walker",NA,NA,"ARITH_OPEN"
